#### This file is generated by:
# ( for i in c1c1/Events/tab2_*; do
#   grep "^ *1000024" $i/*_banner.txt | sed 's/^ *1000024 *//' | sed 's/ .*/,/' | tr '\n' ' '
#  ./parse.pl $i/parton_systematics.log | sed 's/\t/, /g'
# done )  > tab2_xs.tsv
#
# C1 mass,        xs [pb],       unc- [pb],           unc+ [pb]
1.89479804E+02, 0.805568353659, -0.0293914624900637, 0.0294477756707081
2.10274295E+02, 0.549280232407, -0.0218200492081406, 0.0211062314113007
2.30966997E+02, 0.38736880098, -0.0177092374187786, 0.0162842398614527
2.41280425E+02, 0.328633419832, -0.0152069233777915, 0.0137643665958069
2.51574338E+02, 0.279640116354, -0.013874828443679, 0.0122968541717807
2.72109926E+02, 0.20701990024, -0.0112751369856777, 0.00957777518120493
2.92584936E+02, 0.155642311975, -0.00924944952824508, 0.0076109727126986
3.13008529E+02, 0.119207241403, -0.00759745822623072, 0.00609176996798857
3.33388232E+02, 0.0924212763894, -0.0062787589757678, 0.00495510793030708
3.43563609E+02, 0.081749477609, -0.0057975655194033, 0.00452890630329117
3.53730252E+02, 0.0726092194122, -0.00527134431784616, 0.00407689613605314
3.74039731E+02, 0.0575873255298, -0.00439875952534873, 0.00335218092351579
3.94320955E+02, 0.0461588537285, -0.00371105127364278, 0.00278745976026594
4.14577513E+02, 0.0372557244002, -0.00316248876397619, 0.002357769366564
4.34812432E+02, 0.0302503258097, -0.00265245855335307, 0.00196167940132682
4.44922593E+02, 0.0274325710516, -0.00246314854196477, 0.00181589530579124
4.55028274E+02, 0.0248553441424, -0.00229388299966879, 0.00168073594084757
